name,location,address,hours,services,direction_link
Sekinchan,Selangor,"No.15 (Ground Floor), Jalan Peria, Pekan Sekinchan, 45400 Sekinchan, Selangor",Not specified,"Coffee, Food, Beverages",
Kompleks PKNS Shah Alam,Selangor,"Lot G-6 (Ground Floor), Kompleks PKNS Shah Alam, Persiaran Tasik, Seksyen 14, 40000 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Shah Alam Seksyen 18,Selangor,"15G (Ground Floor), Jalan Pinang B 18/B, Seksyen 18, 40200 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
SAMA Square,Wilayah Persekutuan Kuala Lumpur.,"G-02 & 02(E), Ground Floor, Same Square, Jalan 1/23c, Kampung Baru Air Panas, 53200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
GM Klang,Selangor,"A-G-13, Ground Floor, Wholesale City Gm Klang, Jalan Kasuarina 1, Bandar Botanik, 41200 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
"Prima Saujana, Kajang",Prima Saujana 43000 Kajang Selangor.,"No.20 (GF), Jalan Prima Saujana 1/1A, Prima Saujana 43000 Kajang Selangor.",Not specified,"Coffee, Food, Beverages",
AEON Mall Bukit Tinggi,Selangor,"Lot F26, AEON Bukit Tinggi Shopping Centre, 1, Persiaran Batu Nilam 1, KS6, 41200, Selangor",Not specified,"Coffee, Food, Beverages",
Shah Alam Seksyen 20,Selangor,"No 18, Jalan Singa D 20/D, Seksyen 20, 40300 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
You City III Cheras,Selangor,"Lot no G-AP-8, Jalan Persiaran You City,Taman Suntex, 43200 Cheras, Selangor",Not specified,"Coffee, Food, Beverages",
Menara UOA Bangsar,Wilayah Persekutuan Kuala Lumpur,"Lot LGF-8, Lower Ground Floor, 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"TTDI Jaya, Shah Alam",Kuala Lumpur/Selangor,"No.33 (Ground Floor), Jalan Opera F U2/F, Taman TTDI Jaya, Seksyen U2, 40150 Shah Alam.",Not specified,"Coffee, Food, Beverages",
Citta Mall,Selangor,"G-48 7 G-48A, Ground Floor, Citta Mall, 1, Jalan PJU 1a/48, Ara Damansara, 47301 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
"Cubic Botanical, Pantai Dalam",59200 Kuala Lumpur,"No. R2-1 (Lower Ground Floor), Residensi Rimba Pantai Dalam, No. 6, Jalan Pantai Sentral 3, Pantai Dalam, 59200 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
TTDI Grove Kajang,SELANGOR,"No. 26, JALAN TTDI GROVE 1/1, 43000 KAJANG, SELANGOR",Not specified,"Coffee, Food, Beverages",
Jenjarom,Kuala Lumpur/Selangor,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom",Not specified,"Coffee, Food, Beverages",
Suasana PjH Presint 2,Kuala Lumpur/Selangor,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya",Not specified,"Coffee, Food, Beverages",
Plaza Low yat,Wilayah Persekutuan Kuala Lumpur,"Plaza Low Yat, Lot LG-04 & 05, Lower Ground Floor, 7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Selera Putra, Souq Putrajaya",Kuala Lumpur/Selangor,"Lot G-005, Selera Putra, Souq Putrajaya, Presint 1, 62000 Putrajaya",Not specified,"Coffee, Food, Beverages",
Plaza Shah Alam,Selangor,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
"Vista Bangi, Jalan Reko",Selangor.,"1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor.",Not specified,"Coffee, Food, Beverages",
Kipmall Bangi,Selangor,"1K-03A, Level 1, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor",Not specified,"Coffee, Food, Beverages",
Universiti Malaya Centre for Continuing Education,Selangor,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor",Not specified,"Coffee, Food, Beverages",
Ready-To Zus – Holiday Inn Express Hotel KL,Wilayah Persekutuan Kuala Lumpur,"Lot G01, Ground Floor, 84, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
MSU Medical Centre,Selangor.,"Lot A01 (Ground Floor), MSU Medical Centre, University Drive, Off Persiaran Olahraga, Seksyen 13, 40100 Shah Alam, Selangor.",Not specified,"Coffee, Food, Beverages",
Bandar Teknologi Kajang,Selangor,"No. G-8 (Ground Floor), Jalan 1/2, HILLPARK RESIDENCE, Seksyen 1 Bandar Teknologi Kajang, 43500 Semenyih, Selangor",Not specified,"Coffee, Food, Beverages",
Menara VSQ Petaling Jaya,Selangor,"B03, Ground Floor, VSQ@PJ City Centre, Jalan Utara, 46200 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Damansara Damai,Selangor,"L-013 (Ground Floor), Vista Shop, Jalan PJU 10/2A, Damansara Damai,47830 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
AEON Mall Cheras Selatan,Selangor,"KF3 & KF5, First Floor, Aeon Mall Cheras,�Selatan, Jalan Cheras Perdana Cheras, 43200,�Balakong, Selangor",Not specified,"Coffee, Food, Beverages",
"Setia Prima, Setia Alam",Selangor,"8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
The Glenz @Glenmarie,Selangor Darul Ehsan,"G-3B (Ground Floor), Subplace Boulevard Pusat Kormersil Vestland, No.6, Jalan Juruanalisis U1/35, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Puchong Utama,Selangor,"A-G-9 (Ground Floor), Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor",Not specified,"Coffee, Food, Beverages",
Sunway Pyramid,Selangor,"Lot LG2.37, Level LG2, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Setapak Central Mall,Wilayah Persekutuan,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan",Not specified,"Coffee, Food, Beverages",
The Exchange TRX,Wilayah Persekutuan,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan",Not specified,"Coffee, Food, Beverages",
Taman Sri Manja,Kuala Lumpur/Selangor,"No.25, Jalan PJS 3/46, Taman Sri Manja, 46000 Petaling Jaya",Not specified,"Coffee, Food, Beverages",
Eco Grandeur,Selangor,"No 18-G (Ground Floor), Jalan Eco Grandeur 1/9A, Eco Granduer, 42300, Bandar Puncak Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Jaya Shopping Centre,Selangor,"Lot G-01, Jaya Shopping Centre, Jalan 14/17, Seksyen 14, 46100 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Eco Majestic Semenyih,Selangor.,"Lot 47-1, Jalan Eco Majestic 10/1A, 43500 Semenyih, Selangor.",Not specified,"Coffee, Food, Beverages",
